"id","text"
"complete the form here below  to contact the webmaster",""
"subject","Subject"
"enter the code you see below","Enter the code you see below"
"wrong anti-spam code","wrong anti-spam code"
"the message has been send correctly","The message has been send correctly"
"can't send the message, maybe the mail server is not configured or is not rightly installed","can't send the message, maybe the mail server is not configured or is not rightly installed"
"check your email address, not right","check your email address, not right"
"wrote","wrote"
"ip address","ip address"
"telephone","telephone"
"message","message"
"sent message","sent message"

